,Adres,Postcode,Woningoppervlakte m2,Prijs
406,Vuurvlindersingel 43,3544DB,232,675000
407,Bijlhouwerstraat 9,3511ZB,184,1225000
408,Koekoekstraat 22 A,3514CW,102,500000
409,Rubenslaan 79,3582JE,71,300000
410,Aurorastraat 8,3581LV,135,695000
411,Augusto Sandinostraat 238,3573ZH,129,500000
412,Handelstraat 60,3533GL,134,625000
413,Lijsterstraat 78,3514TE,96,510000
414,Vleutenseweg 485,3532HK,72,345000
415,Jutfaseweg 3 A,3522HA,138,649000
416,Deliuslaan 58,3533JS,75,295000
417,Burg Van Tuyllkade 17 Bs,3553AA,82,275000
418,Klifrakplantsoen 46,3544RA,119,385000
419,M A de Ruyterstraat 86-88,3572XN,323,1300000
420,Nieuwegracht 67,3512LG,735,3600000
421,Van Vollenhovenlaan 367,3527JJ,103,285000
422,Luzernevlinder 86,3544DK,97,379000
423,Pieter Nieuwlandstraat 49,3514HC,121,600000
424,Sterrenhof 11,3511EV,86,575000
425,Gageldijk 198,3566MJ,133,840000
426,Heinrich Bertestraat 30,3543JM,197,849000
427,Marnixlaan 294 A,3552HK,76,320000
428,Saffierlaan 1,3523RA,108,439000
429,Salland 14,3524TZ,80,250000
430,Anton Pieckhof 32,3544MG,178,812500
431,Dommeringdreef 287,3562AS,56,180000
432,Sumatrastraat 8,3531PC,51,245000
433,Van Brakelstraat 16bis A,3572XR,113,550000
434,Burgemeester Van Tuyllkade 17BS,3553AA,82,275000
435,Draaiweg 103 II,3515EL,45,249000
436,Hermannus Elconiusstraat 72,3553VG,97,389000
437,Tulastraat 51,3573XE,132,495000
438,Cornelis Mertenssstraat 24,3553JS,126,440000
439,Johan Wagenaarkade 90 I,3533TN,61,255000
440,Cervanteslaan 113,3533HT,158,-
441,Prof. Jordanlaan 4,3571KA,154,-
442,Herenstraat 8 G,3512KC,29,275000
443,Van Der Vlugtsingel 9,3544LA,74,340000
444,Frederik Hendrikstraat 16,3583VM,190,1250000
445,Loeff Berchmakerstraat 40 en 40 Bis,3512TE,212,995000
446,Koppestokstraat 49,3554BB,85,290000
447,Hermelijnvlinderdijk 131,3544ZD,107,415000
448,Van Der Helststraat 46,3583AV,67,389500
449,Berkelstraat 84,3522ER,115,425000
450,Paulus Potterstraat 4,3583SN,133,650000
451,Kouwerplantsoen 24,3571LT,122,419500
452,Abraham Bloemaertstraat 18,3514VP,149,760000
453,Amsterdamsestraatweg 503,3553ED,135,400000
454,Burgemeester Norbruislaan 328,3555EN,60,200000
455,Wibautstraat 64,3555WD,91,299000
456,Wageningseberg 24,3524LR,71,285000
457,Houstondreef 25,3564KL,110,374500
458,Noltheniusstraat 18,3533SH,119,569000
459,Wielingenplein 35,3522PD,99,475000
460,Rooseveltlaan 670,3526BH,77,245000
461,Cartesiusweg 79,3534BB,116,395000
462,Stationsstraat 86,3511EH,96,525000
463,Pieter Nieuwlandstraat 109,3514HG,96,389500
464,Billitonkade 88 Bis,3531TL,92,325000
465,Persimoenstraat 21,3545DB,80,349000
466,Simplonbaan 61,3524GB,138,380000
467,Vuurvlindersingel 5,3544DB,169,900000
468,Vondellaan 29,3521GB,140,645000
469,Jaap Edendreef 18,3562AV,85,200000
470,Johan de Meesterstraat 83,3532EJ,104,372500
471,Zandhofsestraat 80,3572GJ,129,510000
472,Zonnebaan 24,3542EE,205,499000
473,Nieuwe Koekoekstraat 10,3514EE,123,595000
474,Louis Armstronglaan 656,3543EB,48,283250
475,Beukstraat 23,3581XD,72,395000
476,Cervanteslaan 47,3533HS,116,539000
477,Theemsdreef 201,3562ED,78,205000
478,Abraham Kuijperstraat 38,3551XB,47,215000
479,Concordiastraat 50,3551EN,74,320000
480,Rooseveltlaan 742,3526BK,79,230000
481,Amsterdamsestraatweg 903,3555HN,298,500000
482,Croesestraat 135,3522AD,87,419000
483,Balderikstraat 127,3553BD,75,319500
484,Prinses IReneplateau 115,3554HW,100,360000
485,Joseph Haydnlaan 8,3533AE,171,750000
486,Grasstraat 19,3572TV,95,550000
487,Reitdiepstraat 35,3522GG,105,395000
488,Balderikstraat 57,3553BB,71,269000
489,Vlietstraat 16 Bis,3581SZ,57,269000
490,Joan Mirostraat 50,3544NS,94,395000
491,Edisonstraat 20,3553BS,50,235000
492,Carolinen 7,3524JH,110,389000
493,Gageldijk 207,3566MJ,183,875000
494,St.-Willibrordusstraat 5,3553SL,46,215000
495,Hofnarlaan 15,3525GM,79,275000
496,Joseph Haydnlaan 32,3533AH,61,275000
497,Merelstraat 23,3514CM,84,420000
498,Blauwkapelseweg 25,3572KB,57,-
499,Alexander Numankade 17 11,3572KP,14,-
500,Jacques Offenbachplantsoen 30,3543HK,204,675000
501,Van Vollenhovenlaan 151,3527JD,104,295000
502,Adriaanstraat 71,3581SC,224,1150000
503,Hondsrug 813,3524BZ,86,300000
504,Kastanjestraat 12,3552SL,114,449500
505,Patmosdreef 130,3562JR,92,260000
506,Stadhouderslaan 65,3583JD,200,1125000
507,Livingstonelaan 612,3526JE,95,239000
508,Edisonstraat 93 Bs,3553BN,91,300000
509,Asserlaan 1,3527VZ,100,389000
510,Voorsterbeeklaan 48,3521DE,245,1695000
511,Croeselaan 187 E,3521BM,37,275000
512,Dahliastraat 14 A,3551SV,32,180000
513,Mekongdreef 25,3564SP,130,385000
514,Linschotensingel 1 Ab,3525XA,67,275000
515,Bolksbeekstraat 38,3521CT,125,569000
516,Van Lynden Van Sandenburglaan 25,3571BA,118,650000
517,Jacob Van Ruisdaelstraat 64,3583CG,186,1150000
518,Livingstonelaan 870,3526JL,88,230000
519,Vogelvlinderweg 1,3544NJ,159,679500
520,Noordzeestraat 3 Bis,3522PH,85,339000
521,Salawatihof 20,3531WT,102,425000
522,Valeriaanweg 117,3541TR,126,450000
523,Pasteurstraat 5,3511HW,110,550000
524,Jongeneelwerf 3,3513DD,80,500000
525,Papiliohof 5,3544VV,133,425000
526,Hermannus Elconiusstraat 28,3553VE,52,235000
527,Louis Armstronglaan 694,3543EB,59,332000
528,Kemal Ataturkstraat 119,3573PD,95,300000
529,Jaap Edendreef 21,3562AT,77,250000
530,Twijnstraat 54,3511ZM,218,839000
531,Azielaan 592,3526ST,90,239500
532,1e Daalsedijk 193,3513TE,53,260000
533,Eerste Daalsedijk 193,3513TE,53,260000
534,Dantelaan 69,3533VB,117,589000
535,Eschersingel 51,3544ML,121,397000
536,Fregatstraat 66,3534RG,90,400000
537,Talmalaan 183,3515CX,94,375000
538,Arnoldus Rotterdamstraat 6,3553TE,68,345000
539,Jansveld 2 B- C,3512BG,225,1049000
540,Balijelaan 18 Bis,3521GS,93,395000
541,Adriaan Menninckkwartier 30,3554CT,136,495000
542,Adriaan Van Bergenstraat 52,3554VE,98,329000
543,Admiraal Van Gentstraat 25 Bis,3572XE,170,765000
544,Zonstraat 48,3581MT,65,365000
545,Nieuwe Koekoekstraat 18,3514EE,61,299000
546,Jasmijnstraat 4,3551SR,93,400000
547,Julianalaan 17,3581NS,277,1595000
548,Johann Sebastiaan Bachstraat 22,3533XC,107,525000
549,Amerongseberg 53,3524LM,100,365000
550,Wilhelminapark 23,3581NE,288,1650000
551,Washingtondreef 147,3564KD,68,200000
552,Frederik Hendrikstraat 8,3583VL,39,250000
553,Voorstraat 88 B,3512AT,47,250000
554,Aartsbisschop Romerostraat 495,3573AR,87,295000
555,Pieter de Hooghstraat 7,3583RG,61,350000
556,Blauwkapelseweg 149,3572KE,173,775000
557,Patmosdreef 146,3562JR,91,239000
558,Knopstraat 10,3551ET,115,390000
559,Nieuwe Koekoekstraat 14,3514EE,77,399000
560,Prinses Ireneplateau 3,3554HW,98,329000
561,Willem Barentszstraat 62,3572PM,121,590000
562,Maliesingel 15,3581BD,384,1975000
563,Dr. Max Euwestraat 4,3554EZ,81,269500
564,Jan Van Ransdorpstraat 18 B,3554VZ,91,300000
565,Surinamestraat 81,3531KK,74,254000
566,Van Hoornekade 1 A,3554AR,78,299000
567,Wageningseberg 2,3524LR,100,299500
568,Pieterskerkhof 2,3512JR,187,1450000
569,Trans 23,3512JJ,228,1245000
570,Springweg 111,3511VM,100,850000
571,Emmalaan 31 B,3581HN,80,539000
572,Stadhouderslaan 89,3583JG,208,1125000
573,Bleyenburgstraat 9,3572JN,164,895000
574,Lepelaarstraat 6BIS,3582SN,98,395000
575,Bouwstraat 29,3572SN,97,500000
576,Brucknerlaan 23,3533KD,98,469000
577,M.H. Trompstraat 34,3572XW,282,1485000
578,Koppestokstraat 35 Iii,3554BB,33,150000
579,Frederik Hendrikstraat 11,3583VE,191,1150000
590,Slingeraklaan 58,3544SM,236,950000
593,Prins Bernhardlaan 21 Bs,3555AA,79,325000
596,Gijsbrecht van Walenborchstraat 57,3515BS,118,560000
602,Wenenpromenade 16,3541DG,68,350000
614,Catharijnesingel 100 Aa,3511GV,155,599000
618,Korianderstraat 170,,199,850000
620,Veldkersvliet 11,3545DG,204,675000
637,Royaards van den Hamkade 53,3552CK,127,475000
644,Jazzboulevard 30,3543EA,144,485000
647,Willem van Noortstraat 131 133,,179,630000
651,Rose-mariepad 12,3543BV,126,382500
658,Hendrika van Tussenbroeklaan 170,3533SZ,71,269000
661,Oudegracht 84d,3511AT,122,639000
663,St.-eustatiusdreef 354,3564GG,73,225000
671,Patmosdreef 10,3562JL,92,235000
673,Torreshof 16,3526EZ,134,400000
675,Gerard Revestraat 23,3544KK,82,349000
685,Merwedeplantsoen 77,,155,519000 von
691,Katherijn van Leemputdreef 17,3561TL,159,500000
692,Van der Vlugtsingel 9,3544LA,74,340000
703,Royaards van den Hamkade 5 1,3552CJ,59,235000
705,Fregatstraat 9,3534RA,106,325000
713,Prinses Irenelaan 68,3554HE,71,250000
718,Prof. Jordanlaan 60,3571KB,120,750000
728,Ina Boudier-bakkerlaan 26 L,3582VA,30,190000
733,Jungfrau 6,3524WK,112,399000
735,Moskeeplein 21,3531BX,85,400000
736,Slingeraklaan 143,3544SK,122,435000
737,Moskeeplein 38,3531BX,91,439000
738,Laan van Chartroise 75,3552ER,66,250000
743,Arthur van Schendelstraa 185,3511MC,80,375000
747,Grifthoek 138,3514JK,118,675000
752,Paranadreef 41,3563WC,70,199000
760,Ondiep-zuidzijde 201,3551DN,65,270000
762,Anton Koolhaasstraat 2,3544HV,176,589500
763,Burg van Tuyllkade 122 Bisa,3553AN,45,Prijs op aanvraag
768,Prinses Ireneplateau 106,3554HW,89,Prijs op aanvraag
769,Burg van Tuyllkade 17 B,,79,Prijs op aanvraag
771,Prinses Ireneplateau 93,3554HW,52,225000
774,Van Humboldtstraat 3,3514GL,110,559000
777,Johannes van Andelstraat 22 Bis,,53,225000
779,Bakhuizen van den Brinkstraat 21,3532GB,35,225000
780,Adikade 50,3531WS,127,500000
781,Moliérelaan 5,3533VG,101,579000
782,Annastraat 15,3512GP,132,750000
783,Rijksdaalderplantsoen 2,3541GX,184,637500 von
787,Van Brakelstraat 16 Bis A,,113,550000
789,Zijlsterraklaan 32,3544ST,121,375950
792,Van der Marckstraat 6 Bis,3554XK,17,90000
798,H. Copijnlaan 6,3571VH,120,538500
803,Alexandre Lecocqsingel 24,3543JE,295,1220000
808,Arthur van Schendelstraat 173,3511MB,156,650000
810,Jan van Scorelstraat 158 4,3583CV,18,107000
826,Zwanenvechtlaan 60,3554GM,70,235000
832,Albert van Dalsumlaan 97,3584HB,82,275000
841,Koppestokstraat 35 III,3554BB,33,150000
843,Elzas 12,3524RW,102,340000
846,Papaverstraat 38,3551EW,117,360000
849,Joseph Haydnlaan 1,,130,499000
850,A.h.g. Fokkerstraat 8,3555BD,90,399000
851,Karamelweg 33,3541RE,135,489000
854,Parkzichtlaan,3544NX,85,334000 von
862,Parkzichtlaan 0 Ong,3544NX,85,334000 von
871,Hendrika van Tussenbroekplantsoen 6 2,3533SX,68,300000
872,Bakhuizen van den Brinkstraat 51 Bis,3532GD,83,335000
874,Herenweg 91,3513CD,55,300000
875,Jan Wolkerssingel 343,3541AB,218,800000
877,Vaduzdijk 3,3541DM,101,450000
878,Simon Carmiggeltstraat 8,3544HX,129,475000
879,Van Brakelstraat 16 Bisa,3572XR,113,550000
881,Koningslaan 52,,235,1275000
885,Van Lynden van Sandenburglaan 25,,118,650000
888,Nieuwegracht 71,,232,995000
899,Balijelaan 35 Bis A,,130,395000
903,Dollardstraat 70,,85,312500
904,Giessenplein 69,,105,397500
905,Julianaweg 282,,103,499000
907,Madridstraat,3541DZ,166,957500 von
908,Billie Holidaystraat 12,3543EJ,120,450000
909,Prinses Beatrixlaan 26,3554JK,188,895000
912,Oudenoord 142,3513EV,42,200000
916,Marnixlaan 258,3552HK,69,320000
931,Louis Armstronglaan 678,3543EB,70,388000 von
932,Jan Haringstraat 45,3554XV,102,Prijs op aanvraag
934,Marshalllaan 139 E,3527TD,70,225000
936,Louis Armstronglaan 754,3543EB,92,521000 von
943,Joseph Haydnlaan 33,,125,489000
951,Catharina van Renneslaan 29,3533SB,108,Prijs op aanvraag
952,Johan Wagenaarkade 673,3533TH,73,289500
955,Pastoor van Nuenenstraat 2,3511RG,78,375000
957,Hijmans van den Berghlaan 224,3571PH,106,275000
958,Hijmans van den Berghlaan 228,3571PH,46,200000
961,Rooseveltlaan 760,3526BK,68,285000
962,Louis Armstronglaan 712,3543EB,73,400000 von
964,Tolsteegplantsoen 353,3523AL,87,369000
965,Jan Pieterszoon Coenstra 13 Bis,3531EK,25,165000
966,Hoveniersstraat 5,3513XS,76,359000
969,Rhodosdreef 172,3562TL,81,195000
970,Monseigneur van de Weteringstraat 73,3581ED,176,875000
972,Westerdijk 6 C,3513EW,89,410000
973,Zaagmolenkade 29,3515AD,58,259000
976,Adriaen van Ostadelaan 71,3583AC,53,300000
983,Haroekoeplein 118,3531WN,103,440000
986,Satijnvlinder 80,3544VX,268,1000000
989,Achter Sint Pieter 4 E,3512HS,80,579000
991,Grootmeesterplein 2,3554ED,139,420000
992,Schutstraat 154,3551AE,60,325000
994,Bentheimerstraat 15,,167,765000
995,Zuilenstraat 15 D,,75,425000
998,J D van der Waalsstraat 3,,125,549000
1004,Sigmund Rombergstraat 16,3543GC,197,869500
1006,Guus Vleugelplantsoen 27,3544HR,120,450000
1008,Luzernevlinder 107,3544DK,140,549000
1014,Jacob van Campenstraat 2 J,3555CV,43,200000
1018,Hometown 7,,213,708000 von
1022,Balistraat 8,3531PW,103,480000
1023,Van de Hulsthof 22,3582VZ,172,1150000
1032,Vogelhof 3,,209,799000 von
1038,Laan van Soestbergen 45,3582ST,66,300000
1039,Rooseveltlaan 694,3526BJ,78,275000
1041,F.c. Dondersstraat 43,3572JC,114,635000
1042,Nijenrodeplantsoen 140,3554TT,112,425000
1044,Brigittenstraat 11,,311,1695000
1045,Oudegracht 84 G,,156,750000
1048,Arthur van Schendelstraat 175,,142,595000
1050,Oudegracht 79,,125,695000
1051,Wijde Begijnestraat 27 Bis,,151,715000
1062,Eisenhowerlaan 410,3527HR,79,250000
1064,J.d. van der Waalsstraat 3,3514GT,125,549000
1065,Verenigingstraat 22,3515GJ,68,329000
1066,Adriaen van Ostadelaan 167 3,3583AH,73,300000
1071,Philipsdaalderhof 14,3541GZ,121,500000
1076,Marshalllaan 143 A,3527TD,72,240000
1077,Catharijnesingel 131,3511GZ,130,500000
1083,Vrouwjuttenhof-the New U- Type S 7,3512XR,167,1010000 von
1084,Vrouwjuttenhof-the New U- Type S 4,3512XR,172,1085000 von
1085,Vrouwjuttenhof-the New U- Type S 2,3512XR,171,1085000 von
1087,M.h. Trompstraat 34,3572XW,282,1485000
1089,Aurorastraat 28,3581LV,158,749000
1090,Lijnmarkt 37 Baz,3511KG,63,Prijs op aanvraag
1093,Vestibule 07,,95,384500 von
1094,Oudegracht 179 Bis,3511NE,61,Prijs op aanvraag
1098,Annie M G Schmidtstraat 68,3544HG,127,450000
1099,Burg van Tuyllkade 109 Bs,3553AE,88,265000
1107,Burg van Tuyllkade 17 Bis,3553AA,79,Prijs op aanvraag
1110,Pablo 27,,154,560000 von
1113,Talmalaan 95,3515CW,155,635000
1115,Ina Boudier-bakkerlaan 14 M,3582VA,45,269000
1116,Sint -ludgerusstraat 323,,91,299000
1119,Zuilenstraat 9,,410,2200000
1124,Bataviastraat 93 + 95,,138,550000
1126,Tolsteegsingel 30 Bis,,143,750000
1127,Burg van Tuyllkade 56 Bis,,102,325000
1131,Vondellaan 250,,186,849000
1132,Boekelaan 113,-,73,275000
1133,Jaap Edendreef 152,-,84,200000
1149,Burgemeester van Tuyllkade 122Bis A,-,45,209000
1156,Jodocus van Lodensteinstraat 47,-,93,350000
1161,Jan van Scorelstraat 158--4,-,18,107000
1162,Adriaen van Ostadelaan 167-3,-,73,300000
1168,Ondiep-Zuidzijde 4bis,-,95,349000
1169,Pieter Nieuwlandstraat 2323 BIS,-,190,750000
1170,Sweder Van Zuylenweg 72,-,100,365000
1171,Peltlaan 141,-,120,359000
1172,Bolksbeekstraat 14bis,-,78,335000
1173,Rauwenhofflaan 42,-,50,185000
1174,Lippizanerstraat 65,-,166,669000
1175,Lepelenburg 35+ PP,-,102,669000
1176,Tolsteegplantsoen 312,-,59,285000
1179,Alexander Numankade 17-11,-,14,99500
1181,Plesmanlaan 74 ,-,106,325000
1187,Jacob van Campenstraat 2J,-,43,200000
1190,Jan van Scorelstraat 158-4,-,18,107000
1197,Johannes van Andelstraat 22bis,-,53,225000
1211,Utrechtseweg 20a,-,153,749000
1217,Johan Wagenaarkade 19-bis,-,75,300000
1218,Prinses Irenelaan 74,-,71,225000
1223,Fivelingo 93,-,85,299000
1224,Draaiweg 103II,-,45,249000
1234,Trumanlaan 56c,-,54,225000
1243,Dr. Max Euwestraat 8,-,98,325000
1244,Oudwijkerdwarsstraat 32,-,73,335000
1247,Bergstraat 17-Bis,-,86,350000
1248,Marie Curielaan 10,-,60,249000
1249,Toscadreef 9,-,80,225000
1250,Adriaen van Ostadelaan 1673,-,73.75,300000
1251,Noordzeestraat 3 Bis ,-,85,339000
1252,Zijlsterraklaan 32 ,-,121,375950
1253,Trumanlaan 519,-,75,250000
1255,Rubenslaan 85-II,-,73,275000
1256,Telderslaan 66,-,75,235000
1259,Burgemeester van Tuyllkade 17BS,-,82,275000
1263,Tomaatstraat 7,-,113,450000
1265,Van Brakelstraat 16bis a,-,113,550000
1274,Mexicodreef 237,-,69,200000
1277,Prinses Ireneplateau 115,-,100,360000
1281,Asserlaan 16,-,82,309000
1288,Priokstraat 25,-,72,350000
1291,Einsteindreef 71A,-,70,250000
1292,Lippizanerstraat 33,-,88,389000
1295,1e daalsedijk 193,-,53,260000
1305,Jan Haringstraat 19,-,101,334500
1306,Van Hoornekade 1A,-,78,299000
1308,Fortunadreef 7,-,82,265000
1310,Prinses Ireneplateau 57,-,62,235000
1312,Indusdreef 28,-,112,395000
1313,Papaverstraat 38*,-,117,360000
1314,Molenstraat 19,-,47,275000
1315,Plantage 162,-,80,299000
1316,Koppestokstraat 45,-,85,295000
1317,De Sitterlaan 11,-,127,475000
1321,Cornelis Mertenssstraat 29,-,77,250000
1328,Krophollerstraat 6,-,193,895000
1330,Tolsteegplantsoen 47,-,68,275000
1331,Van Bijnkershoeklaan 95,-,66,225000
1332,Burgemeester Norbruislaan 370,-,69,210000
1333,Anton Koolhaasstraat 6-a,-,106,450000
1334,Willem van Noortstraat 131133,-,179,630000
1335,Fortunadreef 129,-,81,260000
1336,Laan van Chartroise 96,-,140,365000
1337,Laan van Soestbergen 33,-,62,247500
1338,Paramaribostraat 39,-,70,225000
1339,Curacaostraat 21,-,63,187500
1340,Theo van Doesburgstraat 70,-,110,247500
1341,Anjelierstraat 15,-,85,245000
1342,Van Brakelstraat 17,-,125,398000
1343,Kerkdwarsstraat 19,-,59,265000
